event_id,theme_id,theme,left_id,left_doc,right_id,right_doc,claim_left,evidence_right,status,risk,confidence,legal_coordinate,conclusion,manual_review,source_rank_left,source_rank_right,source_type_left,source_type_right,primary_act,reason,review_owner,closure_criteria,docx_link,pdf_link,visual_link
E001,T01,Инвестиционный ВНЖ,D18,Брошюра Минэка ВНЖ,D20,ПП №2573,Брошюра Минэка по ВНЖ инвестора указывает критерии инвестора и ссылается на ПП №2573.,ПП №2573 является первичным актом по критериям инвестора.,match,низкий,0.94,D18 стр. 1 RU; D20 критерии инвестора,"Оставить брошюру как информационный пересказ, первичным основанием считать ПП №2573.",нет,2,1,ведомственная брошюра / информационный материал,постановление Правительства / критерии,ПП №2573,содержательное событие v9,,закрыто матрицей,,,
E002,T01,Инвестиционный ВНЖ,D20,ПП №2573,D27,ПП №1375,ПП №1375 найден как поправка к ПП №2573.,Нужно учитывать как источник актуализации критериев инвестора.,outdated,средний,0.78,D27 fallback manifest; D20 current mirror,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка.",да,1,1,постановление Правительства / критерии,постановление Правительства / изменение ПП2573,ПП №2573 / ПП №1375,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E003,T01,Инвестиционный ВНЖ,D18,Брошюра Минэка ВНЖ,D27,ПП №1375,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,ПП1375 имеет приоритет над брошюрой.,manual_review,средний,0.72,D18 brochure; D27 amendment,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.,да,2,1,ведомственная брошюра / информационный материал,постановление Правительства / изменение ПП2573,ПП №1375,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E004,T02,ruID / целевой цифровой въезд / биометрия,D21,ПП №1510,D22,ПП №1562,ПП1562 вносит изменения в ПП1510.,Текущая редакция ПП1510 должна читаться с учетом ПП1562.,match,низкий,0.91,D21 + D22 snapshots,Использовать ПП1510+1562 как текущую редакционную карту до вступления ПП468.,нет,1,1,постановление Правительства / ruID,постановление Правительства / изменения,ПП №1510 / ПП №1562,содержательное событие v9,,закрыто матрицей,,,
E005,T02,ruID / целевой цифровой въезд / биометрия,D21,ПП №1510,D23,ПП №468,ПП468 изменяет ПП1510 с будущей датой вступления.,"Это перспективный слой, не смешивать с текущим до 30.06.2026.",partial_overlap,средний,0.87,D21 + D23 snapshots,В матрице разделить текущую и перспективную редакции.,да,1,1,постановление Правительства / ruID,постановление Правительства / изменения,ПП №1510 / ПП №468,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E006,T02,ruID / целевой цифровой въезд / биометрия,D17,Указ №467,D21,ПП №1510,Указ №467 задает цифровой профиль как президентский контур.,ПП1510 операционализирует ruID/цифровой въездный эксперимент.,match,низкий,0.89,D17; D21,Развести указ как стратегическое основание и ПП1510 как экспериментальный механизм.,нет,1,1,Указ Президента / цифровой профиль,постановление Правительства / ruID,Указ №467 / ПП №1510,содержательное событие v9,,закрыто матрицей,,,
E007,T03,Миграционный учет и уведомления,D06,109-ФЗ,D24,270-ФЗ,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,Старые тезисы об учете должны проверяться по редакции после 270-ФЗ.,outdated,высокий,0.83,D06; D24,Обновить claims Клерка и Минэка по учету после 270-ФЗ.,да,1,1,федеральный закон,федеральный закон / изменения,109-ФЗ / 270-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E008,T04,"Правовое положение, трудовая деятельность, патенты",D11,115-ФЗ,D24,270-ФЗ,"270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",Claims по патентам и разрешениям нельзя закрывать старой редакцией 115-ФЗ.,outdated,высокий,0.82,D11; D24,Использовать 115-ФЗ в редакции с 270-ФЗ.,да,1,1,федеральный закон,федеральный закон / изменения,115-ФЗ / 270-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E009,T10,КоАП и ответственность,D13,КоАП РФ,D25,281-ФЗ,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.","Основой остаются конкретные статьи КоАП 18.8, 18.9, 18.10, 18.15.",partial_overlap,средний,0.76,D13; D25,Проверять claims по ответственности на уровне конкретных статей КоАП.,да,1,1,кодекс / ответственность,федеральный закон / КоАП,КоАП РФ / 281-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E010,T06,ЕАЭС и «Работа в ЕАЭС»,D10,Минэк страница,D26,Договор ЕАЭС ст. 96-98,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.",Договор ЕАЭС регулирует только государства-члены.,contradiction,высокий,0.92,D10 screenshot/MHT; D26 ст.96-98,"Не писать, что Узбекистан и Таджикистан входят в ЕАЭС.",да,2,1,ведомственная информация / snapshot,международный договор,Договор ЕАЭС ст. 96-98,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
