thesis_id,theme,source_doc,thesis,primary_npa,coordinate,status,confidence,manual_review,comment
TH-001,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра Минэка по ВНЖ инвестора указывает критерии инвестора и ссылается на ПП №2573.,ПП №2573,D18 стр. 1 RU; D20 критерии инвестора,match,0.94,нет,"Оставить брошюру как информационный пересказ, первичным основанием считать ПП №2573."
TH-002,Инвестиционный ВНЖ,ПП №2573,ПП №1375 найден как поправка к ПП №2573.,ПП №2573 / ПП №1375,D27 fallback manifest; D20 current mirror,outdated,0.78,да,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка."
TH-003,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,ПП №1375,D18 brochure; D27 amendment,manual_review,0.72,да,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.
TH-004,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП1562 вносит изменения в ПП1510.,ПП №1510 / ПП №1562,D21 + D22 snapshots,match,0.91,нет,Использовать ПП1510+1562 как текущую редакционную карту до вступления ПП468.
TH-005,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП468 изменяет ПП1510 с будущей датой вступления.,ПП №1510 / ПП №468,D21 + D23 snapshots,partial_overlap,0.87,да,В матрице разделить текущую и перспективную редакции.
TH-006,ruID / целевой цифровой въезд / биометрия,Указ №467,Указ №467 задает цифровой профиль как президентский контур.,Указ №467 / ПП №1510,D17; D21,match,0.89,нет,Развести указ как стратегическое основание и ПП1510 как экспериментальный механизм.
TH-007,Миграционный учет и уведомления,109-ФЗ,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,109-ФЗ / 270-ФЗ,D06; D24,outdated,0.83,да,Обновить claims Клерка и Минэка по учету после 270-ФЗ.
TH-008,"Правовое положение, трудовая деятельность, патенты",115-ФЗ,"270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",115-ФЗ / 270-ФЗ,D11; D24,outdated,0.82,да,Использовать 115-ФЗ в редакции с 270-ФЗ.
TH-009,КоАП и ответственность,КоАП РФ,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.",КоАП РФ / 281-ФЗ,D13; D25,partial_overlap,0.76,да,Проверять claims по ответственности на уровне конкретных статей КоАП.
TH-010,ЕАЭС и «Работа в ЕАЭС»,Минэк страница,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.",Договор ЕАЭС ст. 96-98,D10 screenshot/MHT; D26 ст.96-98,contradiction,0.92,да,"Не писать, что Узбекистан и Таджикистан входят в ЕАЭС."
TH-011,ЕАЭС и «Работа в ЕАЭС»,Договор ЕАЭС ст. 96-98,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,Договор ЕАЭС ст. 96-98 / 115-ФЗ,D26 ст.97; D11 патентные нормы,partial_overlap,0.91,да,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.
TH-012,Узбекистан/Таджикистан: не-ЕАЭС режим,Минэк страница,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,115-ФЗ,D10; D11,manual_review,0.88,да,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям."
TH-013,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,Концепция 2026-2030,D03 slide 5; D04/D08,partial_overlap,0.84,да,Не маркировать ВЦИОМ как НПА; использовать как claim source.
TH-014,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,План 4171-р,D03 slide 5; D08 plan,match,0.81,да,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности."
