risk_id,event_id,theme,status,risk,source,issue,evidence,recommendation,manual_review,owner
R-001,E002,Инвестиционный ВНЖ,outdated,средний,ПП №2573 ↔ ПП №1375,ПП №1375 найден как поправка к ПП №2573.,D27 fallback manifest; D20 current mirror,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка.",да,юрист-миграционщик
R-002,E003,Инвестиционный ВНЖ,manual_review,средний,Брошюра Минэка ВНЖ ↔ ПП №1375,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,D18 brochure; D27 amendment,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.,да,юрист-миграционщик
R-003,E007,Миграционный учет и уведомления,outdated,высокий,109-ФЗ ↔ 270-ФЗ,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,D06; D24,Обновить claims Клерка и Минэка по учету после 270-ФЗ.,да,юрист-миграционщик
R-004,E008,"Правовое положение, трудовая деятельность, патенты",outdated,высокий,115-ФЗ ↔ 270-ФЗ,"270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",D11; D24,Использовать 115-ФЗ в редакции с 270-ФЗ.,да,юрист-миграционщик
R-005,E010,ЕАЭС и «Работа в ЕАЭС»,contradiction,высокий,Минэк страница ↔ Договор ЕАЭС ст. 96-98,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.",D10 screenshot/MHT; D26 ст.96-98,"Не писать, что Узбекистан и Таджикистан входят в ЕАЭС.",да,юрист-миграционщик
R-006,E011,ЕАЭС и «Работа в ЕАЭС»,partial_overlap,высокий,Договор ЕАЭС ст. 96-98 ↔ 115-ФЗ,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,D26 ст.97; D11 патентные нормы,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.,да,юрист-миграционщик
R-007,E012,Узбекистан/Таджикистан: не-ЕАЭС режим,manual_review,высокий,Минэк страница ↔ 115-ФЗ,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,D10; D11,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям.",да,юрист-миграционщик
R-008,E023,Forensic/provenance layer,source_gap,средний,Минэк страница ↔ Минэк страница,"Минэк official URL имел timeout, но локальный MHT/PDF snapshot сохранен.",manifest status failed_curl_28; local snapshot,Фиксировать official URL недоступность и local snapshot.,да,юрист-миграционщик
R-009,E024,Forensic/provenance layer,source_gap,средний,270-ФЗ ↔ 270-ФЗ,Official publication 270-ФЗ имел failed_curl_28; fallback Garant/Kontur доступны.,"manifest entries 27-28, fallback 42",В источниках указать provenance-risk.,да,юрист-миграционщик
R-010,E005,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,ПП №1510 ↔ ПП №468,ПП468 изменяет ПП1510 с будущей датой вступления.,D21 + D23 snapshots,В матрице разделить текущую и перспективную редакции.,да,юрист-миграционщик
