pair_id,left_id,right_id,left,right,themes,status,relevance,comparison_type,priority,needs_detailed,visual_redgreen
ПАРА-001,D01,D02,Памятка Нейрон,Пример выгрузки Нейрон,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-002,D01,D03,Памятка Нейрон,ВЦИОМ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-003,D01,D04,Памятка Нейрон,Концепция 2026-2030,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-004,D01,D05,Памятка Нейрон,Концепция 2019-2025,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-005,D01,D06,Памятка Нейрон,109-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-006,D01,D07,Памятка Нейрон,План 30-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-007,D01,D08,Памятка Нейрон,План 4171-р,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-008,D01,D09,Памятка Нейрон,Клерк,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-009,D01,D10,Памятка Нейрон,Минэк страница,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-010,D01,D11,Памятка Нейрон,115-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-011,D01,D12,Памятка Нейрон,НК РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-012,D01,D13,Памятка Нейрон,КоАП РФ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-013,D01,D14,Памятка Нейрон,121-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-014,D01,D15,Памятка Нейрон,260-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-015,D01,D16,Памятка Нейрон,271-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-016,D01,D17,Памятка Нейрон,Указ №467,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-017,D01,D18,Памятка Нейрон,Брошюра Минэка ВНЖ,T14,not_comparable,низкая,методический/forensic контекст,C,нет,нет
ПАРА-018,D01,D19,Памятка Нейрон,114-ФЗ,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
ПАРА-019,D01,D20,Памятка Нейрон,ПП №2573,нет содержательной темы,not_comparable,низкая,provenance/архивное сопоставление,C,нет,нет
