review_id,priority,event_id,theme,what_to_check,why,source,owner,deadline,closure_criteria,status
RV-001,P0,E002,Инвестиционный ВНЖ,ПП №1375 найден как поправка к ПП №2573.,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка.",ПП №2573 ↔ ПП №1375,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-002,P2,E003,Инвестиционный ВНЖ,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.,Брошюра Минэка ВНЖ ↔ ПП №1375,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-003,P0,E007,Миграционный учет и уведомления,270-ФЗ меняет 109-ФЗ в части учета/размещения/уведомлений.,Обновить claims Клерка и Минэка по учету после 270-ФЗ.,109-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-004,P0,E008,"Правовое положение, трудовая деятельность, патенты","270-ФЗ меняет 115-ФЗ, включая миграционные действия и патентный контур.",Использовать 115-ФЗ в редакции с 270-ФЗ.,115-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-005,P0,E010,ЕАЭС и «Работа в ЕАЭС»,"Минэк/проект «Работа в ЕАЭС» имеет сервисный охват, который может быть шире ЕАЭС.","Не писать, что Узбекистан и Таджикистан входят в ЕАЭС.",Минэк страница ↔ Договор ЕАЭС ст. 96-98,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-006,P1,E011,ЕАЭС и «Работа в ЕАЭС»,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.,Договор ЕАЭС ст. 96-98 ↔ 115-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-007,P1,E012,Узбекистан/Таджикистан: не-ЕАЭС режим,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям.",Минэк страница ↔ 115-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-008,P2,E023,Forensic/provenance layer,"Минэк official URL имел timeout, но локальный MHT/PDF snapshot сохранен.",Фиксировать official URL недоступность и local snapshot.,Минэк страница ↔ Минэк страница,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-009,P2,E024,Forensic/provenance layer,Official publication 270-ФЗ имел failed_curl_28; fallback Garant/Kontur доступны.,В источниках указать provenance-risk.,270-ФЗ ↔ 270-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-010,P2,E005,ruID / целевой цифровой въезд / биометрия,ПП468 изменяет ПП1510 с будущей датой вступления.,В матрице разделить текущую и перспективную редакции.,ПП №1510 ↔ ПП №468,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
RV-011,P2,E009,КоАП и ответственность,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.",Проверять claims по ответственности на уровне конкретных статей КоАП.,КоАП РФ ↔ 281-ФЗ,юрист-миграционщик,до передачи юристу / до внешней коммуникации,приложить норму/редакцию/письмо или пометить как непроверяемый claim,открыто
