thesis_id,theme,source_doc,thesis,primary_npa,coordinate,status,confidence,manual_review,comment
TH-001,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра Минэка по ВНЖ инвестора указывает критерии инвестора и ссылается на ПП №2573.,ПП №2573,D18 стр. 1 RU; D20 критерии инвестора,match,0.94,нет,"Оставить брошюру как информационный пересказ, первичным основанием считать ПП №2573."
TH-002,Инвестиционный ВНЖ,ПП №2573,ПП №1375 найден как поправка к ПП №2573.,ПП №2573 / ПП №1375,D27 fallback manifest; D20 current mirror,outdated,0.78,да,"Проверить, какие пункты ПП2573 изменены ПП1375, и обновить карточки Минэка."
TH-003,Инвестиционный ВНЖ,Брошюра Минэка ВНЖ,Брошюра может отражать не полностью актуальную редакцию после поправки ПП1375.,ПП №1375,D18 brochure; D27 amendment,manual_review,0.72,да,Юрист должен сверить каждую сумму/критерий с консолидированной редакцией ПП2573.
TH-062,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 115-ФЗ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-067,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ Брошюра Минэка ВНЖ.,Брошюра Минэка ВНЖ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-068,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ 114-ФЗ.,114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-069,Инвестиционный ВНЖ,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №2573.,ПП №2573,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-079,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ Брошюра Минэка ВНЖ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-080,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 114-ФЗ.,115-ФЗ / 114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-081,Инвестиционный ВНЖ,115-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ ПП №2573.,115-ФЗ / ПП №2573,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-X03,ВНЖ инвестора,Брошюра Минэка,Инвестор может готовить документы по 4 категориям критериев.,ПП2573 + ПП1375,D20/D27,partial_overlap,0.87,да,Проверить редакцию ПП2573 после ПП1375.
