thesis_id,theme,source_doc,thesis,primary_npa,coordinate,status,confidence,manual_review,comment
TH-013,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,Концепция 2026-2030,D03 slide 5; D04/D08,partial_overlap,0.84,да,Не маркировать ВЦИОМ как НПА; использовать как claim source.
TH-014,Сопротивление миграции / межнациональная напряженность,ВЦИОМ,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,План 4171-р,D03 slide 5; D08 plan,match,0.81,да,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности."
TH-015,Образовательная / интеллектуальная миграция,ВЦИОМ,ВЦИОМ: стимулирование образовательной и интеллектуальной миграции.,Концепция 2026-2030,D03 slide 4; D04/D08,match,0.86,нет,Оставить как совместимый аналитический тезис.
TH-026,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2026-2030.,Концепция 2026-2030,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-027,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2019-2025.,Концепция 2019-2025,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-028,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 109-ФЗ.,109-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-029,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ План 30-р.,План 30-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-030,Концепции и планы реализации,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ План 4171-р.,План 4171-р,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-031,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ Клерк.,Клерк,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-032,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 115-ФЗ.,115-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-033,Режим высылки и реестр контролируемых лиц,ВЦИОМ,Системное перекрестное сопоставление: ВЦИОМ ↔ 260-ФЗ.,260-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-X05,Социология,ВЦИОМ,Сопротивление общества миграции и риск межнациональной напряженности.,НПА + социологические источники,D03 slide 5; external sociology needed,source_gap,0.72,да,НПА не доказывает социологический claim; нужны сопоставимые опросы.
