thesis_id,theme,source_doc,thesis,primary_npa,coordinate,status,confidence,manual_review,comment
TH-004,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП1562 вносит изменения в ПП1510.,ПП №1510 / ПП №1562,D21 + D22 snapshots,match,0.91,нет,Использовать ПП1510+1562 как текущую редакционную карту до вступления ПП468.
TH-005,ruID / целевой цифровой въезд / биометрия,ПП №1510,ПП468 изменяет ПП1510 с будущей датой вступления.,ПП №1510 / ПП №468,D21 + D23 snapshots,partial_overlap,0.87,да,В матрице разделить текущую и перспективную редакции.
TH-006,ruID / целевой цифровой въезд / биометрия,Указ №467,Указ №467 задает цифровой профиль как президентский контур.,Указ №467 / ПП №1510,D17; D21,match,0.89,нет,Развести указ как стратегическое основание и ПП1510 как экспериментальный механизм.
TH-019,Концепции и планы реализации,Концепция 2026-2030,Концепция 2026-2030 добавляет новый контрольный/цифровой контур и ожидаемые результаты.,Концепция 2026-2030 / Концепция 2019-2025,D04; D05,partial_overlap,0.9,нет,"Использовать как policy diff, не как поправки одного текста."
TH-048,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ Минэк страница.,Минэк страница,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-055,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ Указ №467.,Указ №467,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-056,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ 114-ФЗ.,114-ФЗ,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-057,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №1510.,ПП №1510,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-058,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №1562.,ПП №1562,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-059,ruID / целевой цифровой въезд / биометрия,Клерк,Системное перекрестное сопоставление: Клерк ↔ ПП №468.,ПП №468,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-066,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ Указ №467.,Указ №467,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,нет,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-070,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1510.,ПП №1510,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-071,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1562.,ПП №1562,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-072,ruID / целевой цифровой въезд / биометрия,Минэк страница,Системное перекрестное сопоставление: Минэк страница ↔ ПП №468.,ПП №468,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,partial_overlap,0.68,да,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.
TH-X02,ruID,Клерк / Минэк,ruID и цифровой профиль меняют контур въезда/выезда.,ПП1510 + ПП1562 + ПП468 + Указ 467,D21/D22/D23/D17,match,0.88,да,Не смешивать текущую и перспективную редакции.
